membership_id,person_id,act,role,start_date,end_date,start_precision,end_precision,source_key,source_record_id,notes
membership-bill-kreutzmann-1965,person-bill-kreutzmann,grateful-dead,drums,1965-05-05,1995-07-09,day,day,musicbrainz-api,6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6,"Founding member. show_performers shows performer-role shows from 1965-05-05 through the band's final show, 1995-07-09. MusicBrainz member-of-band relation on artist 6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6: begin 1965, end 1995. Wikidata Bill Kreutzmann (Q862250) member-of statement(s) for the Grateful Dead (Q212533): 1965-1995."
membership-bob-weir-1965,person-bob-weir,grateful-dead,"guitar, vocals",1965-05-05,1995-07-09,day,day,musicbrainz-api,6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6,"Founding member. show_performers shows performer-role shows from 1965-05-05 through the band's final show, 1995-07-09. MusicBrainz member-of-band relation on artist 6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6: begin 1965, end 1995. Wikidata Bob Weir (Q888316) member-of statement(s) for the Grateful Dead (Q212533): 1965-1995."
membership-brent-mydland-1979,person-brent-mydland,grateful-dead,"keyboards, vocals",1979-04-22,1990-07-23,day,day,musicbrainz-api,6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6,"show_performers performer-role rows run 1979-04-22 to 1990-07-23 (his last show); Mydland died 1990-07-26, three days later. MusicBrainz's member-of-band relation gives end 1990-07-26 (his date of death); this row uses the last documented performance instead, a few days apart rather than a substantive disagreement. MusicBrainz member-of-band relation on artist 6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6: begin 1979, end 1990-07-26. Wikidata Brent Mydland (Q909786) member-of statement(s) for the Grateful Dead (Q212533): 1979-1990."
membership-bruce-hornsby-1990,person-bruce-hornsby,grateful-dead,"keyboards, accordion, vocals",1990-09-15,1992-03-24,day,day,musicbrainz-api,6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6,"Touring auxiliary member alongside Vince Welnick. show_performers performer-role rows run 1990-09-15 to 1992-03-24, matching Wikidata's has-part qualifier on the band's own item (1990-1992). MusicBrainz's member-of-band relation for Hornsby carries no begin/end. Separate guest-role sit-ins from 1988-06-25 through 1994-08-04 (including under the JerryBase 'Bruce Hornsby (complete show)' identity, person-bruce-hornsby-complete-show) precede and follow this tenure and are not counted as membership. Wikidata Bruce Hornsby (Q918502) member-of statement(s) for the Grateful Dead (Q212533): 1990-1992."
membership-donna-jean-godchaux-1972,person-donna-jean-godchaux,grateful-dead,vocals,1972-03-25,1979-02-17,day,day,musicbrainz-api,6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6,"show_performers performer-role rows run 1972-03-25 to 1979-02-17; a single guest-role row on 1971-12-31 (New Year's Eve) precedes her formal membership and is not counted as tenure start. MusicBrainz gives begin 1972 (matching); Wikidata gives 1971 (matching the guest debut, not the performer-role start). MusicBrainz member-of-band relation on artist 6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6: begin 1972, end 1979. Wikidata Donna Jean Godchaux (Q443690) member-of statement(s) for the Grateful Dead (Q212533): 1971-1979."
membership-jerry-garcia-1965,person-jerry-garcia,grateful-dead,"guitar, vocals",1965-05-05,1995-07-09,day,day,musicbrainz-api,6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6,"Founding member. show_performers shows performer-role shows from 1965-05-05 through the band's final show, 1995-07-09 (Soldier Field, Chicago); Garcia died 1995-08-09, one month after the last show. MusicBrainz member-of-band relation on artist 6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6: begin 1965, end 1995. Wikidata Jerry Garcia (Q312870) member-of statement(s) for the Grateful Dead (Q212533): 1965-1995."
membership-keith-godchaux-1971,person-keith-godchaux,grateful-dead,keyboards,1971-10-19,1979-02-17,day,day,musicbrainz-api,6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6,"show_performers performer-role rows run 1971-10-19 to 1979-02-17, matching MusicBrainz and Wikidata (1971-1979). Keith Godchaux died 1980-07-23, after leaving the band. MusicBrainz member-of-band relation on artist 6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6: begin 1971, end 1979. Wikidata Keith Godchaux (Q1351036) member-of statement(s) for the Grateful Dead (Q212533): 1971-1979."
membership-mickey-hart-1967,person-mickey-hart,grateful-dead,"drums, percussion",1967-09-30,1971-02-18,day,day,musicbrainz-api,6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6,"show_performers performer-role rows run 1967-09-30 to 1971-02-18, matching MusicBrainz and Wikidata (1967-1971). MusicBrainz member-of-band relation on artist 6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6: begin 1975, end 1995. Wikidata Mickey Hart (Q522201) member-of statement(s) for the Grateful Dead (Q212533): 1967-1971; 1974-1995."
membership-mickey-hart-1975,person-mickey-hart,grateful-dead,"drums, percussion",1975-03-23,1995-07-09,day,day,musicbrainz-api,6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6,"show_performers performer-role rows resume 1975-03-23 (the SNACK benefit at Kezar Stadium) through the band's final show, 1995-07-09, matching MusicBrainz's second relation (begin 1975). Wikidata's second member-of statement gives start 1974, matching a single guest-role sit-in on 1974-10-20 (during the band's final Winterland run before its 1974-1976 touring hiatus) that precedes full reinstatement; this row uses the performer-role return date. MusicBrainz relation: begin 1975, end 1995. Wikidata Mickey Hart (Q522201) member-of statement(s) for the Grateful Dead (Q212533): 1967-1971; 1974-1995."
membership-phil-lesh-1965,person-phil-lesh,grateful-dead,"bass, vocals",1965-06-18,1995-07-09,day,day,musicbrainz-api,6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6,"Founding member of the band (formed 1965-05-05 as the Warlocks), though show_performers' first performer-role row for Lesh is 1965-06-18, consistent with published accounts that original bassist Dana Morgan Jr. played the band's first several shows before Lesh joined; Wikidata/MusicBrainz record only year precision (1965) and do not distinguish this. Performer-role rows continue through the band's final show, 1995-07-09. MusicBrainz member-of-band relation on artist 6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6: begin 1965, end 1995. Wikidata Phil Lesh (Q1350527) member-of statement(s) for the Grateful Dead (Q212533): 1965-1995."
