release_id,title,artist_name,release_date,release_type,spotify_album_url,source_url,notes
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,"Veneta, OR 8/27/72: The Complete Sunshine Daydream Concert (Live)",Grateful Dead,2013-09-13,live,https://open.spotify.com/album/1E4MXxSYoAMN5qpy1y6aBm,https://open.spotify.com/album/1E4MXxSYoAMN5qpy1y6aBm,Official Spotify release containing one intro and the 20 canonical performances.
release-30-days-of-dead-1970-03-01,30 Days of Dead: Nov. 2024,Grateful Dead,,live,,https://musicbrainz.org/release/6ecd7bfc-ea33-4edd-8a9b-629487f6949e,MusicBrainz release 6ecd7bfc-ea33-4edd-8a9b-629487f6949e; release group 4fbae9ee-09d7-4135-9d85-284cadcc3019; show resolution: single date 1970-03-01 from 1/30 track-level dates; covers one canonical show gd-1970-03-01; 2/30 tracks mapped to canonical performances; release date left blank: MusicBrainz gives only '2024-11'.
release-30-days-of-dead-2010,30 Days of Dead,Grateful Dead,,live,,https://musicbrainz.org/release/14608831-e550-4a9c-a294-af819a1e35ee,"MusicBrainz release 14608831-e550-4a9c-a294-af819a1e35ee; release group 759d0366-fcff-4d83-8aae-84012fd508e8; show resolution: multiple dates (30) in metadata; 28/30 tracks attributed by track-level dates to 28 canonical show(s): gd-1967-03-18, gd-1967-08-04, gd-1969-01-25, gd-1969-06-05, gd-1970-01-10, gd-1970-01-16, gd-1970-02-01, gd-1970-09-20, gd-1970-12-26, gd-1970-12-28, gd-1971-02-24, gd-1971-05-30, gd-1973-05-13, gd-1978-04-24, gd-1978-06-04, gd-1980-10-07, gd-1980-10-13, gd-1980-10-25, gd-1981-03-14, gd-1982-04-06, gd-1983-08-31, gd-1983-10-15, gd-1984-04-14, gd-1987-03-26, gd-1989-10-23, gd-1990-07-16, gd-1991-05-05, gd-1993-03-28; spans more than one show; 20/30 tracks mapped to canonical performances; release date left blank: MusicBrainz gives only '2010-11'."
release-30-days-of-dead-2013,30 Days of Dead: 2013,Grateful Dead,,live,,https://musicbrainz.org/release/413c7bcf-69ca-47a2-80b2-757f44c81bb5,"MusicBrainz release 413c7bcf-69ca-47a2-80b2-757f44c81bb5; release group 223b67f3-6dd4-4fa3-bfa0-1831b1fece7c; show resolution: multiple dates (30) in metadata; 29/30 tracks attributed by track-level dates to 29 canonical show(s): gd-1966-07-03, gd-1967-11-10, gd-1968-08-23, gd-1971-02-24, gd-1971-11-12, gd-1972-03-22, gd-1972-09-10, gd-1973-02-21, gd-1973-11-25, gd-1976-06-12, gd-1977-05-18, gd-1977-05-26, gd-1978-05-07, gd-1978-11-18, gd-1979-05-07, gd-1980-08-26, gd-1980-11-29, gd-1981-03-24, gd-1982-08-10, gd-1984-04-23, gd-1985-06-24, gd-1985-06-27, gd-1986-03-31, gd-1987-03-26, gd-1987-09-16, gd-1989-07-10, gd-1993-03-27, gd-1994-10-01, gd-1995-03-23; spans more than one show; 20/30 tracks mapped to canonical performances; release date left blank: MusicBrainz gives only '2013-11'."
release-30-days-of-dead-2019,30 Days of Dead: 2019,Grateful Dead,,live,,https://musicbrainz.org/release/36c7f79d-4c40-4908-90ff-a21b58a48228,"MusicBrainz release 36c7f79d-4c40-4908-90ff-a21b58a48228; release group 87593d64-c9f9-457a-89d5-22c6f81ff4b8; show resolution: multiple dates (28) in metadata; 26/30 tracks attributed by track-level dates to 26 canonical show(s): gd-1968-10-13, gd-1969-06-28, gd-1969-08-30, gd-1970-06-07, gd-1970-12-26, gd-1971-10-24, gd-1973-02-19, gd-1974-05-12, gd-1974-07-25, gd-1974-07-29, gd-1976-06-12, gd-1977-10-07, gd-1977-12-31, gd-1978-05-07, gd-1978-06-04, gd-1979-12-05, gd-1980-08-26, gd-1980-08-31, gd-1982-08-29, gd-1987-09-16, gd-1988-04-05, gd-1988-06-30, gd-1989-12-28, gd-1991-05-12, gd-1992-03-21, gd-1994-06-26; spans more than one show; 14/30 tracks mapped to canonical performances; release date left blank: MusicBrainz gives only '2019-11'."
release-30-days-of-dead-2020,30 Days of Dead: 2020,Grateful Dead,,live,,https://musicbrainz.org/release/3eb64c8f-e76e-4301-bd9a-00009aa8d338,"MusicBrainz release 3eb64c8f-e76e-4301-bd9a-00009aa8d338; release group 32f5959a-0070-4d7a-a9b1-b735773ba9b6; show resolution: multiple dates (29) in metadata; 28/30 tracks attributed by track-level dates to 28 canonical show(s): gd-1969-07-03, gd-1970-02-23, gd-1970-06-07, gd-1971-02-24, gd-1971-04-13, gd-1971-11-14, gd-1972-09-16, gd-1972-11-15, gd-1974-07-25, gd-1977-05-18, gd-1978-04-18, gd-1980-04-01, gd-1981-10-10, gd-1981-11-30, gd-1981-12-06, gd-1984-06-21, gd-1985-09-03, gd-1986-04-01, gd-1987-09-16, gd-1989-03-31, gd-1989-10-11, gd-1989-10-23, gd-1990-10-20, gd-1991-03-17, gd-1991-04-27, gd-1992-12-12, gd-1993-03-29, gd-1994-07-03; spans more than one show; 16/30 tracks mapped to canonical performances; release date left blank: MusicBrainz gives only '2020-11'."
release-30-days-of-dead-2021,30 Days of Dead: 2021,Grateful Dead,,live,,https://musicbrainz.org/release/9f253f50-4d6b-4d85-a2c0-c36f683f6aa8,"MusicBrainz release 9f253f50-4d6b-4d85-a2c0-c36f683f6aa8; release group b7e26f20-4119-4043-8f47-6ac0fb75db42; show resolution: multiple dates (30) in metadata; 29/30 tracks attributed by track-level dates to 29 canonical show(s): gd-1969-11-07, gd-1971-11-14, gd-1972-07-16, gd-1972-11-15, gd-1973-03-26, gd-1973-05-26, gd-1973-10-25, gd-1973-11-23, gd-1974-07-25, gd-1976-10-01, gd-1977-04-22, gd-1979-12-05, gd-1980-10-14, gd-1983-08-31, gd-1984-04-21, gd-1984-10-15, gd-1985-04-04, gd-1986-04-01, gd-1987-09-16, gd-1988-04-03, gd-1988-06-28, gd-1988-07-29, gd-1989-10-12, gd-1990-02-25, gd-1990-06-23, gd-1991-03-18, gd-1992-03-21, gd-1993-03-29, gd-1994-10-19; spans more than one show; 13/30 tracks mapped to canonical performances; release date left blank: MusicBrainz gives only '2021-11'."
release-30-days-of-dead-2022,30 Days of Dead: 2022,Grateful Dead,,live,,https://musicbrainz.org/release/d1424e59-1774-4fe7-90eb-5f77cbec9aff,"MusicBrainz release d1424e59-1774-4fe7-90eb-5f77cbec9aff; release group 0969c2a0-3edd-4ccf-a386-2a22a79f6f38; show resolution: multiple dates (27) in metadata; 28/30 tracks attributed by track-level dates to 27 canonical show(s): gd-1966-02-06, gd-1969-10-25, gd-1970-03-01, gd-1971-04-14, gd-1972-10-24, gd-1973-12-19, gd-1974-07-29, gd-1976-09-27, gd-1977-04-29, gd-1978-04-21, gd-1979-05-07, gd-1979-12-01, gd-1979-12-07, gd-1980-05-31, gd-1981-12-06, gd-1983-09-04, gd-1984-04-16, gd-1984-10-15, gd-1987-09-15, gd-1989-02-06, gd-1989-12-27, gd-1991-03-24, gd-1992-06-12, gd-1993-03-10, gd-1993-03-11, gd-1994-10-01, gd-1994-10-19; spans more than one show; 10/30 tracks mapped to canonical performances; release date left blank: MusicBrainz gives only '2022-11'."
release-30-days-of-dead-2023,30 Days of Dead 2023,Grateful Dead,,live,,https://musicbrainz.org/release/e95afb74-4a98-41ea-989f-bdbb4b22e306,"MusicBrainz release e95afb74-4a98-41ea-989f-bdbb4b22e306; release group 6c741323-169e-4c5c-ae4a-30959e6e831b; show resolution: multiple dates (30) in metadata; 30/30 tracks attributed by track-level dates to 30 canonical show(s): gd-1968-12-07, gd-1969-10-26, gd-1970-02-28, gd-1971-03-20, gd-1971-10-24, gd-1973-10-27, gd-1976-06-29, gd-1976-10-02, gd-1977-03-18, gd-1977-04-22, gd-1978-05-06, gd-1979-05-05, gd-1979-05-12, gd-1979-12-11, gd-1980-08-26, gd-1980-08-30, gd-1980-12-13, gd-1981-09-30, gd-1981-11-30, gd-1983-08-31, gd-1984-06-23, gd-1985-04-04, gd-1986-03-31, gd-1987-09-16, gd-1989-12-31, gd-1991-03-18, gd-1991-03-25, gd-1992-06-11, gd-1993-03-09, gd-1994-10-19; spans more than one show; 8/30 tracks mapped to canonical performances; release date left blank: MusicBrainz gives only '2023-11'."
release-30-days-of-dead-2025,30 Days of Dead 2025,Grateful Dead,,live,,https://musicbrainz.org/release/7bfab286-4c26-4352-9dbc-07fc215b99ea,"MusicBrainz release 7bfab286-4c26-4352-9dbc-07fc215b99ea; release group c056c465-e34c-4a2f-a781-51063b2e573e; show resolution: multiple dates (29) in metadata; 30/30 tracks attributed by track-level dates to 29 canonical show(s): gd-1969-08-30, gd-1970-02-06, gd-1970-02-28, gd-1971-10-23, gd-1972-07-16, gd-1972-11-22, gd-1973-06-30, gd-1973-11-25, gd-1977-04-23, gd-1977-05-18, gd-1979-11-25, gd-1979-12-11, gd-1980-04-01, gd-1981-02-26, gd-1981-03-02, gd-1981-03-24, gd-1984-10-05, gd-1984-10-15, gd-1985-11-07, gd-1988-09-05, gd-1989-02-07, gd-1989-08-05, gd-1989-10-20, gd-1989-12-30, gd-1990-02-27, gd-1991-03-17, gd-1991-05-05, gd-1992-03-21, gd-1994-10-15; spans more than one show; 8/30 tracks mapped to canonical performances; release date left blank: MusicBrainz gives only '2025-11'."
