performance_link_id,performance_id,platform,link_type,url,title,start_seconds,duration_seconds,is_official,notes
performance-link-gd-1966-01-08-death-don-t-have-no-mercy-1-4-archive-track,gd-1966-01-08-death-don-t-have-no-mercy-1-4,archive,recording-track,https://archive.org/details/gd1966-01-08.sbd.bershaw.5410.shnf/Acid1_05.mp3,Death Don't Have No Mercy,,302,false,Track 5 of Internet Archive item gd1966-01-08.sbd.bershaw.5410.shnf (recording-archive-gd1966-01-08-sbd-bershaw-5410-shnf); file Acid1_05.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-03-12-viola-lee-blues-1-1-archive-track,gd-1966-03-12-viola-lee-blues-1-1,archive,recording-track,https://archive.org/details/gd1966-03-12.sbd.bershaw.5412.shnf/Acid2_01.mp3,Viola Lee Blues,,560,false,Track 1 of Internet Archive item gd1966-03-12.sbd.bershaw.5412.shnf (recording-archive-gd1966-03-12-sbd-bershaw-5412-shnf); file Acid2_01.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-03-12-you-see-a-broken-heart-1-4-archive-track,gd-1966-03-12-you-see-a-broken-heart-1-4,archive,recording-track,https://archive.org/details/gd1966-03-12.sbd.bershaw.5412.shnf/Acid2_02.mp3,You See A Broken Heart,,121,false,Track 2 of Internet Archive item gd1966-03-12.sbd.bershaw.5412.shnf (recording-archive-gd1966-03-12-sbd-bershaw-5412-shnf); file Acid2_02.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-03-19-viola-lee-blues-1-1-archive-track,gd-1966-03-19-viola-lee-blues-1-1,archive,recording-track,https://archive.org/details/gd66-03-19.sbd.scotton.81951.sbeok.flac/gd66-03-19d1t01.mp3,Viola Lee Blues,,680,false,Track 1 of Internet Archive item gd66-03-19.sbd.scotton.81951.sbeok.flac (recording-archive-gd66-03-19-sbd-scotton-81951-sbeok-flac); file gd66-03-19d1t01.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-05-19-beat-it-on-down-the-line-1-1-archive-track,gd-1966-05-19-beat-it-on-down-the-line-1-1,archive,recording-track,https://archive.org/details/gd1966-05-19.136656.set1.sbd.sirmick.flac16/gd1966-05-19t01.mp3,Beat It On Down The Line,,154,false,Track 1 of Internet Archive item gd1966-05-19.136656.set1.sbd.sirmick.flac16 (recording-archive-gd1966-05-19-136656-set1-sbd-sirmick-flac16); file gd1966-05-19t01.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-05-19-cream-puff-war-1-9-archive-track,gd-1966-05-19-cream-puff-war-1-9,archive,recording-track,https://archive.org/details/gd1966-05-19.136656.set1.sbd.sirmick.flac16/gd1966-05-19t09.mp3,Cream Puff War//,,141,false,Track 9 of Internet Archive item gd1966-05-19.136656.set1.sbd.sirmick.flac16 (recording-archive-gd1966-05-19-136656-set1-sbd-sirmick-flac16); file gd1966-05-19t09.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-05-19-i-know-you-rider-1-6-archive-track,gd-1966-05-19-i-know-you-rider-1-6,archive,recording-track,https://archive.org/details/gd1966-05-19.136656.set1.sbd.sirmick.flac16/gd1966-05-19t06.mp3,I Know You Rider,,172,false,Track 6 of Internet Archive item gd1966-05-19.136656.set1.sbd.sirmick.flac16 (recording-archive-gd1966-05-19-136656-set1-sbd-sirmick-flac16); file gd1966-05-19t06.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-05-19-mindbender-1-3-archive-track,gd-1966-05-19-mindbender-1-3,archive,recording-track,https://archive.org/details/gd1966-05-19.136656.set1.sbd.sirmick.flac16/gd1966-05-19t03.mp3,Mindbender,,184,false,Track 3 of Internet Archive item gd1966-05-19.136656.set1.sbd.sirmick.flac16 (recording-archive-gd1966-05-19-136656-set1-sbd-sirmick-flac16); file gd1966-05-19t03.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-05-19-sick-and-tired-1-8-archive-track,gd-1966-05-19-sick-and-tired-1-8,archive,recording-track,https://archive.org/details/gd1966-05-19.136656.set1.sbd.sirmick.flac16/gd1966-05-19t08.mp3,Sick And Tired,,225,false,Track 8 of Internet Archive item gd1966-05-19.136656.set1.sbd.sirmick.flac16 (recording-archive-gd1966-05-19-136656-set1-sbd-sirmick-flac16); file gd1966-05-19t08.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-05-19-standing-on-the-corner-1-2-archive-track,gd-1966-05-19-standing-on-the-corner-1-2,archive,recording-track,https://archive.org/details/gd1966-05-19.136656.set1.sbd.sirmick.flac16/gd1966-05-19t02.mp3,Standing On The Corner,,226,false,Track 2 of Internet Archive item gd1966-05-19.136656.set1.sbd.sirmick.flac16 (recording-archive-gd1966-05-19-136656-set1-sbd-sirmick-flac16); file gd1966-05-19t02.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-05-19-viola-lee-blues-1-5-archive-track,gd-1966-05-19-viola-lee-blues-1-5,archive,recording-track,https://archive.org/details/gd1966-05-19.136656.set1.sbd.sirmick.flac16/gd1966-05-19t05.mp3,Viola Lee Blues,,475,false,Track 5 of Internet Archive item gd1966-05-19.136656.set1.sbd.sirmick.flac16 (recording-archive-gd1966-05-19-136656-set1-sbd-sirmick-flac16); file gd1966-05-19t05.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-07-16-beat-it-on-down-the-line-1-4-archive-track,gd-1966-07-16-beat-it-on-down-the-line-1-4,archive,recording-track,https://archive.org/details/gd1966-07-16.sbd.miller.21063.shnf/gd66-07-16d1t04.mp3,Beat It On Down The Line,,123,false,Track 4 of Internet Archive item gd1966-07-16.sbd.miller.21063.shnf (recording-archive-gd1966-07-16-sbd-miller-21063-shnf); file gd66-07-16d1t04.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-07-16-big-boss-man-1-2-archive-track,gd-1966-07-16-big-boss-man-1-2,archive,recording-track,https://archive.org/details/gd1966-07-16.sbd.miller.21063.shnf/gd66-07-16d1t02.mp3,Big Boss Man,,175,false,Track 2 of Internet Archive item gd1966-07-16.sbd.miller.21063.shnf (recording-archive-gd1966-07-16-sbd-miller-21063-shnf); file gd66-07-16d1t02.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-07-16-cardboard-cowboy-1-6-archive-track,gd-1966-07-16-cardboard-cowboy-1-6,archive,recording-track,https://archive.org/details/gd1966-07-16.sbd.miller.21063.shnf/gd66-07-16d1t06.mp3,Cardboard Cowboy,,90,false,Track 6 of Internet Archive item gd1966-07-16.sbd.miller.21063.shnf (recording-archive-gd1966-07-16-sbd-miller-21063-shnf); file gd66-07-16d1t06.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-07-16-cold-rain-and-snow-2-7-archive-track,gd-1966-07-16-cold-rain-and-snow-2-7,archive,recording-track,https://archive.org/details/gd1966-07-16.sbd.miller.21063.shnf/gd66-07-16d2t02.mp3,Cold Rain And Snow ->,,157,false,Track 17 of Internet Archive item gd1966-07-16.sbd.miller.21063.shnf (recording-archive-gd1966-07-16-sbd-miller-21063-shnf); file gd66-07-16d2t02.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-07-16-cream-puff-war-1-10-archive-track,gd-1966-07-16-cream-puff-war-1-10,archive,recording-track,https://archive.org/details/gd1966-07-16.sbd.miller.21063.shnf/gd66-07-16d1t10.mp3,Cream Puff War,,217,false,Track 10 of Internet Archive item gd1966-07-16.sbd.miller.21063.shnf (recording-archive-gd1966-07-16-sbd-miller-21063-shnf); file gd66-07-16d1t10.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-07-16-dancin-in-the-streets-2-10-archive-track,gd-1966-07-16-dancin-in-the-streets-2-10,archive,recording-track,https://archive.org/details/gd1966-07-16.sbd.miller.21063.shnf/gd66-07-16d2t05.mp3,Dancin' In The Streets,,227,false,Track 20 of Internet Archive item gd1966-07-16.sbd.miller.21063.shnf (recording-archive-gd1966-07-16-sbd-miller-21063-shnf); file gd66-07-16d2t05.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-07-16-don-t-ease-me-in-2-2-archive-track,gd-1966-07-16-don-t-ease-me-in-2-2,archive,recording-track,https://archive.org/details/gd1966-07-16.sbd.miller.21063.shnf/gd66-07-16d1t12.mp3,Don't Ease Me In ->,,91,false,Track 12 of Internet Archive item gd1966-07-16.sbd.miller.21063.shnf (recording-archive-gd1966-07-16-sbd-miller-21063-shnf); file gd66-07-16d1t12.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1966-07-16-good-morning-little-schoolgirl-2-8-archive-track,gd-1966-07-16-good-morning-little-schoolgirl-2-8,archive,recording-track,https://archive.org/details/gd1966-07-16.sbd.miller.21063.shnf/gd66-07-16d2t03.mp3,Good Morning Little Schoolgirl ->,,344,false,Track 18 of Internet Archive item gd1966-07-16.sbd.miller.21063.shnf (recording-archive-gd1966-07-16-sbd-miller-21063-shnf); file gd66-07-16d2t03.mp3. Derived from preserved representative item metadata; no audio retrieved.
