performance_id,person_id,role,instrument,notes,source_key,source_record_id
gd-1980-01-13-not-fade-away-1-9,person-carlos-santana,guest,guitar,"Carlos Santana and John Cipollina both joined on this song at the Cambodian refugee benefit. Lost Live Dead, 'January 13, 1980 Oakland Coliseum Arena' (Corry Arnold), corroborated by the JerryBase guest list for event 19800113-01.",manual,research-santana-onstage-2026-09-14
gd-1980-01-13-not-fade-away-1-9,person-john-cipollina,guest,guitar,"John Cipollina (Quicksilver Messenger Service) joined alongside Carlos Santana. Lost Live Dead, 'January 13, 1980 Oakland Coliseum Arena' (Corry Arnold), corroborated by the JerryBase guest list for event 19800113-01.",manual,research-santana-onstage-2026-09-14
gd-1980-01-13-sugar-magnolia-1-10,person-carlos-santana,guest,guitar,"Carlos Santana and John Cipollina both joined on this song at the Cambodian refugee benefit. Lost Live Dead, 'January 13, 1980 Oakland Coliseum Arena' (Corry Arnold), corroborated by the JerryBase guest list for event 19800113-01.",manual,research-santana-onstage-2026-09-14
gd-1980-01-13-sugar-magnolia-1-10,person-john-cipollina,guest,guitar,"John Cipollina (Quicksilver Messenger Service) joined alongside Carlos Santana. Lost Live Dead, 'January 13, 1980 Oakland Coliseum Arena' (Corry Arnold), corroborated by the JerryBase guest list for event 19800113-01.",manual,research-santana-onstage-2026-09-14
gd-1980-01-13-u-s-blues-2-1,person-greg-errico,guest,drums,"Greg Errico (Sly and the Family Stone) sat in on the U.S. Blues encore. Lost Live Dead, 'January 13, 1980 Oakland Coliseum Arena' (Corry Arnold), corroborated by the JerryBase guest list for event 19800113-01.",manual,research-santana-onstage-2026-09-14
gd-1987-08-22-good-morning-little-schoolgirl-1-9,person-carlos-santana,guest,guitar,Santana's band opened Mountain Aire II; Carlos joined to close the first set. First Good Morning Little School Girl since 1970-09-19. setlist.fm setlist for the date; JerryBase event 19870822-01.,manual,research-santana-onstage-2026-09-14
gd-1987-08-22-midnight-hour-1-10,person-carlos-santana,guest,guitar,Second of two first-set closers with Santana after his band's opening set. setlist.fm setlist for the date; JerryBase event 19870822-01.,manual,research-santana-onstage-2026-09-14
gd-1987-08-23-iko-iko-1-8,person-carlos-santana,guest,guitar,Santana's band opened; Carlos joined for the last two songs of the first set. setlist.fm setlist for the date; Grateful Dead official account (x.com/GratefulDead/status/1827045150960603175); Daily Dose of the Dead 2019-08-23.,manual,research-santana-onstage-2026-09-14
gd-1987-08-23-all-along-the-watchtower-1-9,person-carlos-santana,guest,guitar,"Second first-set closer with Santana, trading solos with Garcia. setlist.fm setlist for the date; Grateful Dead official account (x.com/GratefulDead/status/1827045150960603175).",manual,research-santana-onstage-2026-09-14
gd-1991-04-28-bird-song-1-7,person-carlos-santana,guest,guitar,Santana's band opened; Carlos joined for an extended first-set-closing Bird Song of roughly 17 minutes. No source credits him on the Box of Rain encore. Dead.net show page comments; Grateful Dead of the Day 04-28-1991 ('Carlos Santana plays on Bird Song').,manual,research-santana-onstage-2026-09-14
