performance_id,recording_id,track_number,start_seconds,duration_seconds,track_title,notes
gd-1972-08-27-promised-land,recording-gd-1972-08-27-sbd-4682,1,,,Promised Land,
gd-1972-08-27-sugaree,recording-gd-1972-08-27-sbd-4682,2,,,Sugaree,
gd-1972-08-27-me-and-my-uncle,recording-gd-1972-08-27-sbd-4682,3,,,Me & My Uncle,
gd-1972-08-27-deal,recording-gd-1972-08-27-sbd-4682,4,,,Deal,
gd-1972-08-27-black-throated-wind,recording-gd-1972-08-27-sbd-4682,5,,,Black Throated Wind,
gd-1972-08-27-china-cat-sunflower,recording-gd-1972-08-27-sbd-4682,6,,,China Cat Sunflower>,
gd-1972-08-27-i-know-you-rider,recording-gd-1972-08-27-sbd-4682,7,,,I Know You Rider,
gd-1972-08-27-mexicali-blues,recording-gd-1972-08-27-sbd-4682,8,,,Mexicali Blues,
gd-1972-08-27-bertha,recording-gd-1972-08-27-sbd-4682,9,,,Bertha,
gd-1972-08-27-playing-in-the-band,recording-gd-1972-08-27-sbd-4682,10,,,Playin,
gd-1972-08-27-hes-gone,recording-gd-1972-08-27-sbd-4682,11,,,He's Gone,
gd-1972-08-27-jack-straw,recording-gd-1972-08-27-sbd-4682,12,,,Jack Straw,
gd-1972-08-27-bird-song,recording-gd-1972-08-27-sbd-4682,13,,,Bird Song,
gd-1972-08-27-greatest-story-ever-told,recording-gd-1972-08-27-sbd-4682,14,,,Greatest Story,
gd-1972-08-27-dark-star,recording-gd-1972-08-27-sbd-4682,15,,,Dark Star>,
gd-1972-08-27-el-paso,recording-gd-1972-08-27-sbd-4682,16,,,El Paso,
gd-1972-08-27-sing-me-back-home,recording-gd-1972-08-27-sbd-4682,17,,,Sing Me Back Home,
gd-1972-08-27-sugar-magnolia,recording-gd-1972-08-27-sbd-4682,18,,,Sugar Magnolia,
gd-1972-08-27-casey-jones,recording-gd-1972-08-27-sbd-4682,19,,,E1: Casey Jones,
gd-1972-08-27-one-more-saturday-night,recording-gd-1972-08-27-sbd-4682,20,,,E2: Saturday Night,
