performance_id,show_id,song_id,set_number,set_label,position_in_set,encore,segue_into_next,performance_notes,source_key,source_record_id
gd-1965-05-26-i-m-a-king-bee-1-1,gd-1965-05-26,song-i-m-a-king-bee,1,Set 1,1,false,false,"Source song UUID d9fb6417-c9bc-4511-a622-f0e1386d4c4a; source label ""I'm A King Bee"".",gdshowsdb,d9fb6417-c9bc-4511-a622-f0e1386d4c4a
gd-1965-12-18-midnight-hour-1-1,gd-1965-12-18,song-midnight-hour,1,Set 1,1,false,false,Source song UUID 3d1becdf-e14e-4d47-b936-df3c91fcca30; source label 'Midnight Hour'.,gdshowsdb,3d1becdf-e14e-4d47-b936-df3c91fcca30
gd-1966-01-07-i-know-it-s-a-sin-1-1,gd-1966-01-07,song-i-know-it-s-a-sin,1,Set 1,1,false,false,"Source song UUID c68b1491-3be5-4576-827e-062a7ba21042; source label ""I Know It's A Sin"".",gdshowsdb,c68b1491-3be5-4576-827e-062a7ba21042
gd-1966-01-07-sick-and-tired-1-2,gd-1966-01-07,song-sick-and-tired,1,Set 1,2,false,false,Source song UUID e993fa21-463d-47b1-b3d4-6c26ac370289; source label 'Sick And Tired'.,gdshowsdb,e993fa21-463d-47b1-b3d4-6c26ac370289
gd-1966-01-07-mindbender-1-3,gd-1966-01-07,song-mindbender,1,Set 1,3,false,false,Source song UUID fdffbf2a-e393-428a-a68d-1d205f33d619; source label 'Mindbender'.,gdshowsdb,fdffbf2a-e393-428a-a68d-1d205f33d619
gd-1966-01-07-on-the-road-again-1-4,gd-1966-01-07,song-on-the-road-again,1,Set 1,4,false,false,Source song UUID 00bdef32-85fc-429a-8b65-1a70753e6531; source label 'On The Road Again'.,gdshowsdb,00bdef32-85fc-429a-8b65-1a70753e6531
gd-1966-01-07-she-belongs-to-me-1-5,gd-1966-01-07,song-she-belongs-to-me,1,Set 1,5,false,false,Source song UUID d5c27789-be8c-45cb-b3a0-c00a90cf8bdb; source label 'She Belongs To Me'.,gdshowsdb,d5c27789-be8c-45cb-b3a0-c00a90cf8bdb
gd-1966-01-07-i-ll-go-crazy-1-6,gd-1966-01-07,song-i-ll-go-crazy,1,Set 1,6,false,false,"Source song UUID 504b137f-8441-4be3-9687-f9b433a40c4c; source label ""I'll Go Crazy"".",gdshowsdb,504b137f-8441-4be3-9687-f9b433a40c4c
gd-1966-01-07-can-t-come-down-1-7,gd-1966-01-07,song-can-t-come-down,1,Set 1,7,false,false,"Source song UUID 28b3ba36-ee26-49bd-aa06-a9cabe716634; source label ""Can't Come Down"".",gdshowsdb,28b3ba36-ee26-49bd-aa06-a9cabe716634
gd-1966-01-07-death-don-t-have-no-mercy-1-8,gd-1966-01-07,song-death-don-t-have-no-mercy,1,Set 1,8,false,false,"Source song UUID 74753802-da64-4eee-9f04-82aefaf826d1; source label ""Death Don't Have No Mercy"".",gdshowsdb,74753802-da64-4eee-9f04-82aefaf826d1
