recording_id,show_id,source_type,taper,transferer,shnid,archive_identifier,source_description,lineage,source_url,notes
recording-archive-gd1966-xx-xx-sbd-gems-81254-flac16,gd-1966-01-01,SBD,,GEMS,,gd1966-XX-XX.sbd.GEMS.81254.flac16,SMRs>DAT>3x>Delta DiO 2496>Soundforge 7.0>WAV>CD Wave Editor>FLAC,,https://archive.org/details/gd1966-XX-XX.sbd.GEMS.81254.flac16,Full Internet Archive item metadata preserved in year-specific representative raw records; track descriptions remain source-attributed.
recording-archive-gd66-01-xx-sbd-hanno-uli-18846-sbeok-shnf,gd-1966-01-01,SBD,,,,gd66-01-xx.sbd.hanno-uli.18846.sbeok.shnf,Grateful Dead Live at Viola Lee Blues Reahearsals on 1966-01-01,,https://archive.org/details/gd66-01-xx.sbd.hanno-uli.18846.sbeok.shnf,Internet Archive 1966 search-index metadata only; full item metadata pending.
recording-archive-gd1966-01-08-sbd-bershaw-5410-shnf,gd-1966-01-08,SBD,,Alan Bershaw,,gd1966-01-08.sbd.bershaw.5410.shnf,Soundboard,,https://archive.org/details/gd1966-01-08.sbd.bershaw.5410.shnf,Full Internet Archive item metadata preserved in year-specific representative raw records; track descriptions remain source-attributed.
recording-archive-gd1966-01-08-sbd-lestatkatt-106505-flac16,gd-1966-01-08,SBD,,,,gd1966-01-08.sbd.lestatkatt.106505.flac16,Grateful Dead Live at Fillmore Auditorium on 1966-01-08,,https://archive.org/details/gd1966-01-08.sbd.lestatkatt.106505.flac16,Internet Archive 1966 search-index metadata only; full item metadata pending.
recording-archive-gd65-acid-tests-sbd-bershaw-5406-sbeok-shnf,gd-1966-01-08,SBD,,,,gd65-acid-tests.sbd.bershaw.5406.sbeok.shnf,Grateful Dead Live at Various on 1966-01-08,,https://archive.org/details/gd65-acid-tests.sbd.bershaw.5406.sbeok.shnf,Internet Archive 1966 search-index metadata only; full item metadata pending.
recording-archive-gd1966-01-29-sbd-berger-99527-flac16,gd-1966-01-29,SBD,,Rob Berger,,gd1966-01-29.sbd.berger.99527.flac16,"vinyl > 7"" reel  @ 7.5 ips",,https://archive.org/details/gd1966-01-29.sbd.berger.99527.flac16,Full Internet Archive item metadata preserved in year-specific representative raw records; track descriptions remain source-attributed.
recording-archive-gd1966-01-29-sbd-bershaw-5411-shnf,gd-1966-01-29,SBD,,,,gd1966-01-29.sbd.bershaw.5411.shnf,Grateful Dead Live at 363 6th Street on 1966-01-29,,https://archive.org/details/gd1966-01-29.sbd.bershaw.5411.shnf,Internet Archive 1966 search-index metadata only; full item metadata pending.
recording-archive-gd1966-02-12-sbd-bershaw-9515-shnf,gd-1966-02-12,SBD,,Alan Bershaw,,gd1966-02-12.sbd.bershaw.9515.shnf,Soundboard,,https://archive.org/details/gd1966-02-12.sbd.bershaw.9515.shnf,Full Internet Archive item metadata preserved in year-specific representative raw records; track descriptions remain source-attributed.
recording-archive-gd1966-02-25-sbd-unknown-20346-sbeok-shnf,gd-1966-02-25,SBD,,,,gd1966-02-25.sbd.unknown.20346.sbeok.shnf,MR>DATx>CD,,https://archive.org/details/gd1966-02-25.sbd.unknown.20346.sbeok.shnf,Full Internet Archive item metadata preserved in year-specific representative raw records; track descriptions remain source-attributed.
recording-archive-gd66-02-25-sbd-unknown-1593-sbefail-shnf,gd-1966-02-25,SBD,,,,gd66-02-25.sbd.unknown.1593.sbefail.shnf,Grateful Dead Live at Ivar Theater on 1966-02-25,,https://archive.org/details/gd66-02-25.sbd.unknown.1593.sbefail.shnf,Internet Archive 1966 search-index metadata only; full item metadata pending.
recording-archive-gd1966-03-12-doherty-winters-17681-shnf,gd-1966-03-12,,,,,gd1966-03-12.doherty.winters.17681.shnf,Grateful Dead Live at Danish Center on 1966-03-12,,https://archive.org/details/gd1966-03-12.doherty.winters.17681.shnf,Internet Archive 1966 search-index metadata only; full item metadata pending.
recording-archive-gd1966-03-12-sbd-bershaw-5412-shnf,gd-1966-03-12,SBD,,Alan Bershaw,,gd1966-03-12.sbd.bershaw.5412.shnf,Soundboard,,https://archive.org/details/gd1966-03-12.sbd.bershaw.5412.shnf,Full Internet Archive item metadata preserved in year-specific representative raw records; track descriptions remain source-attributed.
