release_id,person_id,role,instrument,notes
release-17-pine-avenue,person-david-nelson,performer,guitar,MusicBrainz artist relation (instrument) on 1 credit for release feb9cb7f-cf75-4bcc-a0bd-29ccadac931f; studio release-group pass.
release-ace,person-bill-kreutzmann,performer,drums (drum set),MusicBrainz artist relation (instrument) on 1 credit for release 620e340d-fdd1-430b-be0a-08df19bc4ac5; studio release-group pass.
release-ace,person-bob-weir,performer,acoustic guitar,MusicBrainz artist relation (instrument) on 1 credit for release 620e340d-fdd1-430b-be0a-08df19bc4ac5; studio release-group pass.
release-ace,person-bob-weir,performer,electric guitar,MusicBrainz artist relation (instrument) on 1 credit for release 620e340d-fdd1-430b-be0a-08df19bc4ac5; studio release-group pass.
release-ace,person-david-torbert,performer,electric bass guitar,MusicBrainz artist relation (instrument) on 1 credit for release 620e340d-fdd1-430b-be0a-08df19bc4ac5; studio release-group pass.
release-ace,person-donna-jean-godchaux,performer,background vocals,MusicBrainz artist relation (vocal) on 1 credit for release 620e340d-fdd1-430b-be0a-08df19bc4ac5; studio release-group pass.
release-ace,person-jerry-garcia,performer,electric guitar,MusicBrainz artist relation (instrument) on 1 credit for release 620e340d-fdd1-430b-be0a-08df19bc4ac5; studio release-group pass.
release-ace,person-jerry-garcia,performer,pedal steel guitar,MusicBrainz artist relation (instrument) on 1 credit for release 620e340d-fdd1-430b-be0a-08df19bc4ac5; studio release-group pass.
release-ace,person-keith-godchaux,performer,piano,MusicBrainz artist relation (instrument) on 1 credit for release 620e340d-fdd1-430b-be0a-08df19bc4ac5; studio release-group pass.
release-ace,person-phil-lesh,performer,background vocals,MusicBrainz artist relation (vocal) on 1 credit for release 620e340d-fdd1-430b-be0a-08df19bc4ac5; studio release-group pass.
release-ace,person-phil-lesh,performer,electric bass guitar,MusicBrainz artist relation (instrument) on 1 credit for release 620e340d-fdd1-430b-be0a-08df19bc4ac5; studio release-group pass.
release-american-beauty,person-bill-kreutzmann,performer,drums (drum set),MusicBrainz artist relation (instrument) on 9 credits for release 890b13c3-9422-4d78-b5a9-62451f43ebba; studio release-group pass.
release-american-beauty,person-bob-weir,performer,guitar,MusicBrainz artist relation (instrument) on 9 credits for release 890b13c3-9422-4d78-b5a9-62451f43ebba; studio release-group pass.
