resource_id,performance_id,relationship_type,notes
resource-deadcast-veneta-part-2,gd-1972-08-27-playing-in-the-band,performance-analysis,Official Deadcast transcript directly discusses this rendition.
resource-deadcast-veneta-part-2,gd-1972-08-27-bird-song,performance-anecdote,Attendee and performance context in the transcript.
resource-deadcast-veneta-part-2,gd-1972-08-27-jack-straw,performance-film-context,Film and attendee context in the transcript.
resource-deadcast-veneta-part-2,gd-1972-08-27-dark-star,performance-sequence-context,Performance commentary in the transcript.
resource-deadcast-veneta-part-2,gd-1972-08-27-el-paso,performance-sequence-context,Performance commentary in the transcript.
resource-deadcast-veneta-part-2,gd-1972-08-27-sing-me-back-home,performance-sequence-context,Performance commentary in the transcript.
resource-deadcast-veneta-part-2,gd-1972-08-27-sugar-magnolia,performance-sequence-context,Performance commentary in the transcript.
resource-deadnet-blair-field-trips,gd-1972-08-27-el-paso,performance-listening-note,Editorial interpretation of the Veneta sequence.
resource-deadnet-blair-field-trips,gd-1972-08-27-sing-me-back-home,performance-listening-note,Editorial interpretation of the Veneta sequence.
resource-deadnet-blair-field-trips,gd-1972-08-27-casey-jones,performance-listening-note,Editorial interpretation of the Veneta encore.
resource-deadnet-blair-field-trips,gd-1972-08-27-one-more-saturday-night,performance-listening-note,Editorial interpretation of the Veneta encore.
resource-jambase-santana-dead-oakland-1993,gd-1993-01-26-the-other-one-2-8,performance-anecdote,Santana joined out of Space at the start of this song and stayed through the encore.
resource-jambase-santana-dead-oakland-1993,gd-1993-01-26-stella-blue-2-9,performance-anecdote,Names this Stella Blue solo as the moment best remembered from Santana's last sit-in.
resource-jambase-santana-dead-oakland-1993,gd-1993-01-26-turn-on-your-lovelight-2-10,performance-anecdote,Santana still onstage for the set closer.
resource-jambase-santana-dead-oakland-1993,gd-1993-01-26-gloria-3-1,performance-anecdote,Santana's last song onstage with the Grateful Dead.
resource-jambase-weir-teaches-santana-stella-blue-1993,gd-1993-01-26-stella-blue-2-9,performance-anecdote,"Weir coaching Santana through a song he did not know, caught on video."
resource-jambase-bill-graham-tribute-1991-10-27,gd-1991-10-27-iko-iko-2-5,performance-anecdote,"Santana and Gary Duncan join, two days after Bill Graham's death."
resource-jambase-bill-graham-tribute-1991-10-27,gd-1991-10-27-mona-2-6,performance-anecdote,Four-guitar front line continues into Mona.
resource-deadnet-community-1991-04-28,gd-1991-04-28-bird-song-1-7,performance-anecdote,Attendee memories of Santana on Bird Song; listeners split on whether it worked.
resource-gratefuldeadoftheday-1991-04-28,gd-1991-04-28-bird-song-1-7,performance-listening-note,Recording notes credit Santana on Bird Song; a dissenting listener verdict.
resource-dailydose-1987-08-23-calaveras,gd-1987-08-23-iko-iko-1-8,performance-anecdote,Santana joins after his band's opening set.
resource-dailydose-1987-08-23-calaveras,gd-1987-08-23-all-along-the-watchtower-1-9,performance-anecdote,Santana trading solos with Garcia to close the first set.
