resource_id,show_id,relationship_type,notes
resource-deadcast-veneta-part-1,gd-1972-08-27,show-oral-history,Interviews and production history for the benefit.
resource-deadcast-veneta-part-2,gd-1972-08-27,show-oral-history,Includes performance and recording context.
resource-opb-veneta-creamery-50,gd-1972-08-27,reported-show-history,Local reporting based on Kesey-family interviews.
resource-gdao-veneta-field-trip-part-2,gd-1972-08-27,eyewitness-account,Subjective retrospective account.
resource-deadnet-veneta-release-context,gd-1972-08-27,official-release-context,
resource-deadnet-community-1990-03-29,gd-1990-03-29,community-recollection-trail,Subjective visitor comments hosted on the official show archive page.
resource-deadnet-community-1990-12-31,gd-1990-12-31,community-recollection-trail,Subjective visitor comments hosted on the official show archive page.
resource-deadnet-community-1991-09-10,gd-1991-09-10,community-recollection-trail,Subjective visitor comments hosted on the official show archive page.
resource-deadnet-community-1993-12-10,gd-1993-12-10,community-recollection-trail,Subjective visitor comments hosted on the official show archive page.
resource-deadnet-community-1994-12-16,gd-1994-12-16,community-recollection-trail,Subjective visitor comments hosted on the official show archive page.
resource-branford-history-with-the-dead,gd-1990-03-29,artist-and-community-retrospective,Connects the five appearances with source-attributed reactions.
resource-branford-history-with-the-dead,gd-1990-12-31,artist-and-community-retrospective,Connects the five appearances with source-attributed reactions.
resource-branford-history-with-the-dead,gd-1991-09-10,artist-and-community-retrospective,Connects the five appearances with source-attributed reactions.
resource-branford-history-with-the-dead,gd-1993-12-10,artist-and-community-retrospective,Connects the five appearances with source-attributed reactions.
resource-branford-history-with-the-dead,gd-1994-12-16,artist-and-community-retrospective,Connects the five appearances with source-attributed reactions.
resource-rukind-branford-dark-star-discussion,gd-1990-03-29,community-listening-discussion,Subjective fan discussion; not a canonical ranking.
resource-rukind-branford-dark-star-discussion,gd-1990-12-31,community-listening-discussion,Subjective fan discussion; not a canonical ranking.
