show_link_id,show_id,platform,link_type,url,title,is_official,notes
show-link-gd-1966-01-01-archive-index,gd-1966-01-01,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1966-01-01,All recordings on the Internet Archive: 1966-01-01 Beaver Hall,false,"Internet Archive GratefulDead collection listing filtered to date:1966-01-01; 2 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1966-01-01-relisten,gd-1966-01-01,relisten,streaming-show-page,https://relisten.net/grateful-dead/1966/01/01,Listen on Relisten: 1966-01-01 Beaver Hall,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1966: display_date 1966-01-01, 3 source(s), avg rating 9.26; retrieved 2026-09-01."
show-link-gd-1966-01-08-archive-index,gd-1966-01-08,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1966-01-08,All recordings on the Internet Archive: 1966-01-08 Fillmore Auditorium,false,"Internet Archive GratefulDead collection listing filtered to date:1966-01-08; 3 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1966-01-08-relisten,gd-1966-01-08,relisten,streaming-show-page,https://relisten.net/grateful-dead/1966/01/08,Listen on Relisten: 1966-01-08 Fillmore Auditorium,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1966: display_date 1966-01-08, 3 source(s), avg rating 9.50; retrieved 2026-09-01."
show-link-gd-1966-01-29-archive-index,gd-1966-01-29,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1966-01-29,All recordings on the Internet Archive: 1966-01-29 Matrix,false,"Internet Archive GratefulDead collection listing filtered to date:1966-01-29; 2 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1966-01-29-relisten,gd-1966-01-29,relisten,streaming-show-page,https://relisten.net/grateful-dead/1966/01/29,Listen on Relisten: 1966-01-29 Matrix,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1966: display_date 1966-01-29, 2 source(s), avg rating 7.75; retrieved 2026-09-01."
show-link-gd-1966-02-12-archive-index,gd-1966-02-12,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1966-02-12,All recordings on the Internet Archive: 1966-02-12 Youth Opportunities Center,false,"Internet Archive GratefulDead collection listing filtered to date:1966-02-12; 1 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1966-02-12-relisten,gd-1966-02-12,relisten,streaming-show-page,https://relisten.net/grateful-dead/1966/02/12,Listen on Relisten: 1966-02-12 Youth Opportunities Center,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1966: display_date 1966-02-12, 1 source(s), avg rating 7.60; retrieved 2026-09-01."
show-link-gd-1966-02-25-archive-index,gd-1966-02-25,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1966-02-25,All recordings on the Internet Archive: 1966-02-25 Empire Studios,false,"Internet Archive GratefulDead collection listing filtered to date:1966-02-25; 2 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1966-02-25-relisten,gd-1966-02-25,relisten,streaming-show-page,https://relisten.net/grateful-dead/1966/02/25,Listen on Relisten: 1966-02-25 Empire Studios,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1966: display_date 1966-02-25, 2 source(s), avg rating 9.73; retrieved 2026-09-01."
show-link-gd-1966-03-12-archive-index,gd-1966-03-12,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1966-03-12,All recordings on the Internet Archive: 1966-03-12 Danish Center,false,"Internet Archive GratefulDead collection listing filtered to date:1966-03-12; 4 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
