show_id,person_id,role,instrument,notes
gd-1965-05-05,person-bill-kreutzmann,performer,drums,"JerryBase source event 19650505-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: drums, perc."
gd-1965-05-05,person-bill-kreutzmann,performer,percussion,"JerryBase source event 19650505-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: drums, perc."
gd-1965-05-05,person-bob-weir,performer,rhythm guitar,"JerryBase source event 19650505-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (rhythm), vocals."
gd-1965-05-05,person-bob-weir,performer,vocals,"JerryBase source event 19650505-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (rhythm), vocals."
gd-1965-05-05,person-dana-morgan-jr,performer,bass,JerryBase source event 19650505-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric bass.
gd-1965-05-05,person-jerry-garcia,performer,lead guitar,"JerryBase source event 19650505-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (lead), vocals."
gd-1965-05-05,person-jerry-garcia,performer,vocals,"JerryBase source event 19650505-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (lead), vocals."
gd-1965-05-05,person-ron-pigpen-mckernan,performer,organ,"JerryBase source event 19650505-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: organ, vocals."
gd-1965-05-05,person-ron-pigpen-mckernan,performer,vocals,"JerryBase source event 19650505-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: organ, vocals."
gd-1965-05-12,person-bill-kreutzmann,performer,drums,"JerryBase source event 19650512-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: drums, perc."
gd-1965-05-12,person-bill-kreutzmann,performer,percussion,"JerryBase source event 19650512-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: drums, perc."
gd-1965-05-12,person-bob-weir,performer,rhythm guitar,"JerryBase source event 19650512-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (rhythm), vocals."
gd-1965-05-12,person-bob-weir,performer,vocals,"JerryBase source event 19650512-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (rhythm), vocals."
gd-1965-05-12,person-dana-morgan-jr,performer,bass,JerryBase source event 19650512-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric bass.
gd-1965-05-12,person-jerry-garcia,performer,lead guitar,"JerryBase source event 19650512-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (lead), vocals."
gd-1965-05-12,person-jerry-garcia,performer,vocals,"JerryBase source event 19650512-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (lead), vocals."
gd-1965-05-12,person-ron-pigpen-mckernan,performer,organ,"JerryBase source event 19650512-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: organ, vocals."
gd-1965-05-12,person-ron-pigpen-mckernan,performer,vocals,"JerryBase source event 19650512-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: organ, vocals."
gd-1965-05-19,person-bill-kreutzmann,performer,drums,"JerryBase source event 19650519-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: drums, perc."
gd-1965-05-19,person-bill-kreutzmann,performer,percussion,"JerryBase source event 19650519-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: drums, perc."
gd-1965-05-19,person-bob-weir,performer,rhythm guitar,"JerryBase source event 19650519-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (rhythm), vocals."
gd-1965-05-19,person-bob-weir,performer,vocals,"JerryBase source event 19650519-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (rhythm), vocals."
gd-1965-05-19,person-dana-morgan-jr,performer,bass,JerryBase source event 19650519-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric bass.
gd-1965-05-19,person-jerry-garcia,performer,lead guitar,"JerryBase source event 19650519-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (lead), vocals."
gd-1965-05-19,person-jerry-garcia,performer,vocals,"JerryBase source event 19650519-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (lead), vocals."
gd-1965-05-19,person-ron-pigpen-mckernan,performer,organ,"JerryBase source event 19650519-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: organ, vocals."
gd-1965-05-19,person-ron-pigpen-mckernan,performer,vocals,"JerryBase source event 19650519-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: organ, vocals."
gd-1965-05-26,person-bill-kreutzmann,performer,drums,"JerryBase source event 19650526-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: drums, perc."
gd-1965-05-26,person-bill-kreutzmann,performer,percussion,"JerryBase source event 19650526-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: drums, perc."
gd-1965-05-26,person-bob-weir,performer,rhythm guitar,"JerryBase source event 19650526-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (rhythm), vocals."
gd-1965-05-26,person-bob-weir,performer,vocals,"JerryBase source event 19650526-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (rhythm), vocals."
gd-1965-05-26,person-dana-morgan-jr,performer,bass,JerryBase source event 19650526-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric bass.
gd-1965-05-26,person-jerry-garcia,performer,lead guitar,"JerryBase source event 19650526-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (lead), vocals."
gd-1965-05-26,person-jerry-garcia,performer,vocals,"JerryBase source event 19650526-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (lead), vocals."
gd-1965-05-26,person-ron-pigpen-mckernan,performer,organ,"JerryBase source event 19650526-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: organ, vocals."
gd-1965-05-26,person-ron-pigpen-mckernan,performer,vocals,"JerryBase source event 19650526-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: organ, vocals."
gd-1965-06-18,person-bill-kreutzmann,performer,drums,"JerryBase source event 19650618-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: drums, perc."
gd-1965-06-18,person-bill-kreutzmann,performer,percussion,"JerryBase source event 19650618-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: drums, perc."
gd-1965-06-18,person-bob-weir,performer,rhythm guitar,"JerryBase source event 19650618-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (rhythm), vocals."
gd-1965-06-18,person-bob-weir,performer,vocals,"JerryBase source event 19650618-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (rhythm), vocals."
gd-1965-06-18,person-jerry-garcia,performer,lead guitar,"JerryBase source event 19650618-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (lead), vocals."
gd-1965-06-18,person-jerry-garcia,performer,vocals,"JerryBase source event 19650618-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric guitar (lead), vocals."
gd-1965-06-18,person-phil-lesh,performer,bass,"JerryBase source event 19650618-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric bass, vocals."
gd-1965-06-18,person-phil-lesh,performer,vocals,"JerryBase source event 19650618-01; raw snapshot jerrybase-1965.jsonl; JerryBase source instrument: electric bass, vocals."
