show_id,show_date,venue_id,tour_name,event_name,notes,source_key,source_record_id
gd-1965-05-05,1965-05-05,venue-magoo-s-pizza-parlor-menlo-park,,,Normalized from gdshowsdb show UUID 45aa67cd-c459-45d4-9d7f-8d4bd0c0dfa7 in github-blob:a378fd45d28e44caae401b230a4e2852ac6ccf83.; Source record contains no setlist entries.,gdshowsdb,45aa67cd-c459-45d4-9d7f-8d4bd0c0dfa7
gd-1965-05-12,1965-05-12,venue-magoo-s-pizza-parlor-menlo-park,,,Normalized from gdshowsdb show UUID 5a7143b3-f269-4066-aaa9-c1f1bb9feabf in github-blob:a378fd45d28e44caae401b230a4e2852ac6ccf83.; Source record contains no setlist entries.,gdshowsdb,5a7143b3-f269-4066-aaa9-c1f1bb9feabf
gd-1965-05-19,1965-05-19,venue-magoo-s-pizza-parlor-menlo-park,,,Normalized from gdshowsdb show UUID 47a0f20b-0636-4daf-9417-214efa8bea12 in github-blob:a378fd45d28e44caae401b230a4e2852ac6ccf83.; Source record contains no setlist entries.,gdshowsdb,47a0f20b-0636-4daf-9417-214efa8bea12
gd-1965-05-26,1965-05-26,venue-magoo-s-pizza-parlor-menlo-park,,,Normalized from gdshowsdb show UUID b355528c-9921-4d50-b6d6-f705a604674e in github-blob:a378fd45d28e44caae401b230a4e2852ac6ccf83.,gdshowsdb,b355528c-9921-4d50-b6d6-f705a604674e
gd-1965-06-18,1965-06-18,venue-frenchy-s-hayward,,,Normalized from gdshowsdb show UUID e7670295-e716-4f04-843c-e4411c82bda8 in github-blob:a378fd45d28e44caae401b230a4e2852ac6ccf83.; Source record contains no setlist entries.,gdshowsdb,e7670295-e716-4f04-843c-e4411c82bda8
gd-1965-10-12,1965-10-12,venue-chalet-inn-room-belmont,,,Normalized from gdshowsdb show UUID f7cf3c4f-8e48-4e8d-9dd8-1d4a91f0e7a3 in github-blob:a378fd45d28e44caae401b230a4e2852ac6ccf83.; Source record contains no setlist entries.,gdshowsdb,f7cf3c4f-8e48-4e8d-9dd8-1d4a91f0e7a3
gd-1965-11-29,1965-11-29,venue-matrix-san-francisco,,,Normalized from gdshowsdb show UUID 41ef64b6-4626-49ba-a358-82fc879ca7d9 in github-blob:a378fd45d28e44caae401b230a4e2852ac6ccf83.; Source record contains no setlist entries.,gdshowsdb,41ef64b6-4626-49ba-a358-82fc879ca7d9
gd-1965-12-04,1965-12-04,venue-big-nig-s-house-san-jose,,,Normalized from gdshowsdb show UUID 39375335-6dc3-4b5b-8677-beaa752db89b in github-blob:a378fd45d28e44caae401b230a4e2852ac6ccf83.; Source record contains no setlist entries.,gdshowsdb,39375335-6dc3-4b5b-8677-beaa752db89b
gd-1965-12-08,1965-12-08,venue-matrix-san-francisco,,,Normalized from gdshowsdb show UUID 04422cb5-5b28-4912-9f4d-effde3111599 in github-blob:a378fd45d28e44caae401b230a4e2852ac6ccf83.; Source record contains no setlist entries.,gdshowsdb,04422cb5-5b28-4912-9f4d-effde3111599
gd-1965-12-10,1965-12-10,venue-fillmore-auditorium-san-francisco,,,Normalized from gdshowsdb show UUID 4c35959a-06f1-417a-8e69-67c4e1df9417 in github-blob:a378fd45d28e44caae401b230a4e2852ac6ccf83.; Source record contains no setlist entries.,gdshowsdb,4c35959a-06f1-417a-8e69-67c4e1df9417
