song_id,person_id,writer_role,notes
song-around-and-around,person-chuck-berry,lyrics,Dead.net song-page credit.
song-around-and-around,person-chuck-berry,music,Dead.net song-page credit.
song-attics-of-my-life,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-attics-of-my-life,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-beat-it-on-down-the-line,person-jesse-fuller,writer,MusicBrainz exact-title work match.
song-bertha,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-bertha,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-big-boss-man,person-al-smith,writer,MusicBrainz exact-title work match.
song-big-boss-man,person-luther-dixon,writer,MusicBrainz exact-title work match.
song-big-railroad-blues,person-noah-lewis,writer,Dead.net song-page credit.
song-big-river,person-johnny-cash,writer,Dead.net song-page credit.
song-bird-song,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-bird-song,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-black-peter,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-black-peter,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-black-throated-wind,person-john-perry-barlow,lyrics,MusicBrainz exact-title work match.
song-black-throated-wind,person-bob-weir,music,MusicBrainz exact-title work match.
song-box-of-rain,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-box-of-rain,person-phil-lesh,music,MusicBrainz exact-title work match.
song-brokedown-palace,person-robert-hunter,lyrics,Dead.net song-page credit.
song-brokedown-palace,person-jerry-garcia,music,Dead.net song-page credit.
song-brown-eyed-women,person-robert-hunter,lyrics,Dead.net song-page credit.
song-brown-eyed-women,person-jerry-garcia,music,Dead.net song-page credit.
song-candyman,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-candyman,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-casey-jones,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-casey-jones,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-china-cat-sunflower,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-china-cat-sunflower,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-chinatown-shuffle,person-ron-pigpen-mckernan,lyrics,MusicBrainz exact-title work match.
song-chinatown-shuffle,person-ron-pigpen-mckernan,music,MusicBrainz exact-title work match.
song-comes-a-time,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-comes-a-time,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-cryptical-envelopment,person-jerry-garcia,writer,Dead.net song-page credit.
song-cumberland-blues,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-cumberland-blues,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-cumberland-blues,person-phil-lesh,music,MusicBrainz exact-title work match.
song-dark-star,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-dark-star,person-bill-kreutzmann,music,MusicBrainz exact-title work match.
song-dark-star,person-bob-weir,music,MusicBrainz exact-title work match.
song-dark-star,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-dark-star,person-mickey-hart,music,MusicBrainz exact-title work match.
song-dark-star,person-phil-lesh,music,MusicBrainz exact-title work match.
song-dark-star,person-ron-pigpen-mckernan,music,MusicBrainz exact-title work match.
song-deal,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-deal,person-robert-hunter,music,MusicBrainz exact-title work match.
song-dire-wolf,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-dire-wolf,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-el-paso,person-marty-robbins,writer,Dead.net song-page credit.
song-friend-of-the-devil,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-friend-of-the-devil,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-friend-of-the-devil,person-john-dawson,music,MusicBrainz exact-title work match.
song-frozen-logger,person-james-stevens,writer,Dead.net song-page credit.
song-good-lovin,person-arthur-resnick,writer,MusicBrainz exact-title work match.
song-good-lovin,person-rudy-clark,writer,MusicBrainz exact-title work match.
song-greatest-story-ever-told,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-greatest-story-ever-told,person-bob-weir,music,MusicBrainz exact-title work match.
song-greatest-story-ever-told,person-mickey-hart,music,MusicBrainz exact-title work match.
song-hes-gone,person-robert-hunter,lyrics,Dead.net song-page credit.
song-hes-gone,person-jerry-garcia,music,Dead.net song-page credit.
song-hey-bo-diddley,person-bo-diddley,lyrics,MusicBrainz exact-title work match.
song-hey-bo-diddley,person-bo-diddley,music,MusicBrainz exact-title work match.
song-how-sweet-it-is-to-be-loved-by-you,person-eddie-holland,lyrics,MusicBrainz exact-title work match.
song-how-sweet-it-is-to-be-loved-by-you,person-brian-holland,music,MusicBrainz exact-title work match.
song-how-sweet-it-is-to-be-loved-by-you,person-lamont-dozier,music,MusicBrainz exact-title work match.
song-it-s-all-over-now-baby-blue,person-bob-dylan,writer,Dead.net song-page credit.
song-jack-straw,person-robert-hunter,lyrics,Dead.net song-page credit.
song-jack-straw,person-bob-weir,music,Dead.net song-page credit.
song-johnny-b-goode,person-chuck-berry,lyrics,MusicBrainz exact-title work match.
song-johnny-b-goode,person-chuck-berry,music,MusicBrainz exact-title work match.
song-loser,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-loser,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-me-and-bobby-mcgee,person-fred-foster,lyrics,MusicBrainz exact-title work match.
song-me-and-bobby-mcgee,person-kris-kristofferson,lyrics,MusicBrainz exact-title work match.
song-me-and-bobby-mcgee,person-fred-foster,music,MusicBrainz exact-title work match.
song-me-and-bobby-mcgee,person-kris-kristofferson,music,MusicBrainz exact-title work match.
song-me-and-my-uncle,person-john-phillips,lyrics,MusicBrainz exact-title work match.
song-me-and-my-uncle,person-john-phillips,music,MusicBrainz exact-title work match.
song-mexicali-blues,person-john-perry-barlow,lyrics,MusicBrainz exact-title work match.
song-mexicali-blues,person-bob-weir,music,MusicBrainz exact-title work match.
song-morning-dew,person-bonnie-dobson,writer,Dead.net song-page credit.
song-mr-charlie,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-mr-charlie,person-ron-pigpen-mckernan,music,MusicBrainz exact-title work match.
song-next-time-you-see-me,person-earl-forest,writer,MusicBrainz exact-title work match.
song-next-time-you-see-me,person-william-g-harvey,writer,MusicBrainz exact-title work match.
song-not-fade-away,person-buddy-holly,writer,MusicBrainz exact-title work match.
song-not-fade-away,person-norman-petty,writer,MusicBrainz exact-title work match.
song-one-more-saturday-night,person-bob-weir,lyrics,MusicBrainz exact-title work match.
song-one-more-saturday-night,person-bob-weir,music,MusicBrainz exact-title work match.
song-playing-in-the-band,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
