song_id,title,slug,original_artist,first_known_dead_performance,last_known_dead_performance,notes
song-are-you-lonely-for-me,Are You Lonely For Me,are-you-lonely-for-me,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-around-and-around,Around And Around,around-and-around,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-attics-of-my-life,Attics Of My Life,attics-of-my-life,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-beat-it-on-down-the-line,Beat It On Down The Line,beat-it-on-down-the-line,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-bertha,Bertha,bertha,,,,
song-big-boss-man,Big Boss Man,big-boss-man,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-big-railroad-blues,Big Railroad Blues,big-railroad-blues,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-big-river,Big River,big-river,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-bird-song,Bird Song,bird-song,,,,
song-black-peter,Black Peter,black-peter,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-black-throated-wind,Black Throated Wind,black-throated-wind,,,,
song-box-of-rain,Box Of Rain,box-of-rain,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-brokedown-palace,Brokedown Palace,brokedown-palace,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-brown-eyed-women,Brown Eyed Women,brown-eyed-women,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-candyman,Candyman,candyman,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-casey-jones,Casey Jones,casey-jones,,,,
song-caution,Caution,caution,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-china-cat-sunflower,China Cat Sunflower,china-cat-sunflower,,,,
song-chinatown-shuffle,Chinatown Shuffle,chinatown-shuffle,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-cold-rain-and-snow,Cold Rain And Snow,cold-rain-and-snow,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-comes-a-time,Comes A Time,comes-a-time,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-cryptical-envelopment,Cryptical Envelopment,cryptical-envelopment,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-cumberland-blues,Cumberland Blues,cumberland-blues,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-dark-star,Dark Star,dark-star,,,,
song-deal,Deal,deal,,,,
song-dire-wolf,Dire Wolf,dire-wolf,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-don-t-ease-me-in,Don't Ease Me In,don-t-ease-me-in,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-drums,Drums,drums,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-el-paso,El Paso,el-paso,,,,
song-electricity-blues,Electricity Blues,electricity-blues,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-friend-of-the-devil,Friend Of The Devil,friend-of-the-devil,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-frozen-logger,Frozen Logger,frozen-logger,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-goin-down-the-road-feelin-bad,Goin' Down The Road Feelin' Bad,goin-down-the-road-feelin-bad,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
song-good-lovin,Good Lovin',good-lovin,,,,Source label normalized from gdshowsdb 1972 bulk baseline.
