venue_id,name,city,state_region,country,latitude,longitude,notes,setting,capacity
venue-46th-street-rock-palace-brooklyn,46th Street Rock Palace,Brooklyn,NY,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-academy-of-music-new-york,Academy of Music,New York,NY,US,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-action-house-island-park,Action House,Island Park,NY,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-activity-center-arizona-state-university-tempe,"Activity Center, Arizona State University",Tempe,AZ,US,,,Normalized from gdshowsdb 1977 bulk baseline.,,
venue-activity-center-university-of-colorado-boulder,"Activity Center, University of Colorado",Boulder,CO,US,,,Normalized from gdshowsdb 1981 bulk baseline.,,
venue-adams-field-house-university-of-montana-missoula,"Adams Field House, University of Montana",Missoula,MT,US,,,Normalized from gdshowsdb 1974 bulk baseline.,,
venue-afterthought-pender-auditorium-vancouver,"Afterthought, Pender Auditorium",Vancouver,,Canada,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-aladdin-theater-las-vegas,Aladdin Theater,Las Vegas,NV,US,,,Normalized from gdshowsdb 1981 bulk baseline.,,
venue-albuquerque-civic-auditorium-albuquerque,Albuquerque Civic Auditorium,Albuquerque,NM,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-alexandra-palace-london,Alexandra Palace,London,,England,51.594166666666666,-0.13083333333333333,Normalized from gdshowsdb 1974 bulk baseline. Wikidata: Q254650 (name+city matched).,indoor,
venue-alfond-arena-university-of-maine-orono,"Alfond Arena, University of Maine",Orono,ME,US,44.904539,-68.673617,Normalized from gdshowsdb 1983 bulk baseline. Wikidata: Q4721945 (name+city matched).,indoor,5500
venue-allen-theatre-cleveland,Allen Theatre,Cleveland,OH,US,41.5011,-81.6814,Normalized from gdshowsdb 1971 bulk baseline. Wikidata: Q4731901 (name+city matched).,indoor,500
venue-alpine-valley-music-theatre-east-troy,Alpine Valley Music Theatre,East Troy,WI,US,,,Normalized from gdshowsdb 1980 bulk baseline.,,
venue-alumni-lawn-vanderbilt-university-nashville,"Alumni Lawn, Vanderbilt University",Nashville,TN,US,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-alumni-stadium-university-of-massachusetts-amherst,"Alumni Stadium, University of Massachusetts",Amherst,MA,US,,,Normalized from gdshowsdb 1979 bulk baseline.,,
venue-american-institute-of-aeronautics-and-astronautics-hall-los-angeles,American Institute of Aeronautics and Astronautics Hall,Los Angeles,CA,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-american-legion-hall-post-795-south-lake-tahoe,American Legion Hall Post 795,South Lake Tahoe,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-anaheim-stadium-anaheim,Anaheim Stadium,Anaheim,CA,US,,,Normalized from gdshowsdb 1987 bulk baseline.,,
venue-anderson-theatre-new-york,Anderson Theatre,New York,NY,US,40.725865,-73.989274,Normalized from gdshowsdb 1970 bulk baseline. Wikidata: Q45107286 (name+city matched).,indoor,
venue-aquarius-theater-hollywood,Aquarius Theater,Hollywood,CA,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-arlington-theatre-santa-barbara,Arlington Theatre,Santa Barbara,CA,US,34.4179,-119.697,Normalized from gdshowsdb 1978 bulk baseline. Wikidata: Q4792404 (name+city matched).,indoor,2018
venue-armory-field-house-university-of-cincinnati-cincinnati,"Armory Field House, University of Cincinnati",Cincinnati,OH,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-arrowhead-stadium-kansas-city,Arrowhead Stadium,Kansas City,MO,US,39.048888888889,-94.483888888889,Normalized from gdshowsdb 1978 bulk baseline. Wikidata: Q544553 (name+city matched).,outdoor,76416
venue-assembly-center-louisiana-state-university-baton-rouge,"Assembly Center, Louisiana State University",Baton Rouge,LA,US,,,Normalized from gdshowsdb 1977 bulk baseline.,,
venue-assembly-hall-indiana-university-bloomington,"Assembly Hall, Indiana University",Bloomington,IN,US,39.180833,-86.522222,Normalized from gdshowsdb 1977 bulk baseline. Wikidata: Q4808661 (name+city matched).,indoor,17472
venue-assembly-hall-uiuc-champaign,"Assembly Hall, UIUC",Champaign,IL,US,40.0963,-88.236,Normalized from gdshowsdb 1973 bulk baseline. Wikidata: Q2867017 (name+city matched).,,16618
venue-athletic-center-rutgers-university-piscataway,"Athletic Center, Rutgers University",Piscataway,NJ,US,,,Normalized from gdshowsdb 1981 bulk baseline.,,
venue-atlanta-municipal-auditorium-atlanta,Atlanta Municipal Auditorium,Atlanta,GA,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-atlanta-sports-arena-atlanta,Atlanta Sports Arena,Atlanta,GA,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-atwood-hall-clark-university-worcester,"Atwood Hall, Clark University",Worcester,MA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-auditorium-theatre-chicago,Auditorium Theatre,Chicago,IL,US,41.87611111111111,-87.625,Normalized from gdshowsdb 1971 bulk baseline. Wikidata: Q16975731 (name+city matched).,indoor,3875
venue-augusta-civic-center-augusta,Augusta Civic Center,Augusta,ME,US,,,Normalized from gdshowsdb 1979 bulk baseline.,,
venue-austin-municipal-auditorium-austin,Austin Municipal Auditorium,Austin,TX,US,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-autzen-stadium-university-of-oregon-eugene,"Autzen Stadium, University of Oregon",Eugene,OR,US,44.058333333333,-123.06861111111,Normalized from gdshowsdb 1978 bulk baseline. Wikidata: Q2873102 (name+city matched).,outdoor,53800
venue-avalon-ballroom-san-francisco,Avalon Ballroom,San Francisco,CA,US,37.78783333333333,-122.42094444444444,Normalized from gdshowsdb 1967 bulk baseline. Wikidata: Q2873262 (name+city matched).,indoor,
venue-awalt-pavilion-chester-f-awalt-high-school-mountain-view,"Awalt Pavilion, Chester F. Awalt High School",Mountain View,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-aztec-bowl-san-diego-state-university-san-diego,"Aztec Bowl, San Diego State University",San Diego,CA,US,32.775833,-117.071111,Normalized from gdshowsdb 1969 bulk baseline. Wikidata: Q8210904 (name+city matched).,outdoor,
venue-bakersfield-civic-auditorium-bakersfield,Bakersfield Civic Auditorium,Bakersfield,CA,US,,,Normalized from gdshowsdb 1978 bulk baseline.,,
venue-ballroom-university-of-colorado-boulder,"Ballroom, University of Colorado",Boulder,CO,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-baltimore-civic-center-baltimore,Baltimore Civic Center,Baltimore,MD,US,39.288611111111,-76.618888888889,Normalized from gdshowsdb 1972 bulk baseline. Wikidata: Q2739940 (name+city matched).,indoor,14000
venue-bangor-auditorium-bangor,Bangor Auditorium,Bangor,ME,US,44.78932,-68.77805,Normalized from gdshowsdb 1971 bulk baseline. Wikidata: Q104156926 (name+city matched).,,
