song_id,title,writers,signal,original_artist,evidence_url,decision
song-a-day-in-the-life,A Day In the Life,,no_writer_data,,,held
song-a-mind-to-give-up-livin,A Mind To Give Up Livin',,no_writer_data,,,held
song-a-voice-from-on-high,A Voice From On High,person-bessie-lee-mauldin;person-bessie-lee-mauldin;person-bill-monroe;person-bill-monroe,non_family_writer,,,held
song-ain-t-that-peculiar,Ain't That Peculiar,,no_writer_data,,,held
song-alabama-bound,Alabama Bound,,no_writer_data,,,held
song-alabama-getaway,Alabama Getaway,,no_writer_data,,,held
song-alhambra,Alhambra,,no_writer_data,,,held
song-alice-d-millionaire,Alice D. Millionaire,,no_writer_data,,,held
song-all-along-the-watchtower,All Along The Watchtower,,no_writer_data,,,held
song-all-of-my-love,All Of My Love,,no_writer_data,,,held
song-althea,Althea,,no_writer_data,,,held
song-and-we-bid-you-good-night,And We Bid You Good Night,,no_writer_data,,,held
song-are-you-lonely-for-me,Are You Lonely For Me,,no_writer_data,,,held
song-around-and-around,Around And Around,person-chuck-berry;person-chuck-berry,non_family_writer,,,held
song-baba-o-riley,Baba O'Riley,,no_writer_data,,,held
song-baby-what-you-want-me-to-do,Baby What You Want Me To Do?,,no_writer_data,,,held
song-bad-moon-rising,Bad Moon Rising,,no_writer_data,,,held
song-ballad-of-a-thin-man,Ballad Of A Thin Man,,no_writer_data,,,held
song-ballad-of-casey-jones,Ballad Of Casey Jones,,no_writer_data,,,held
song-beat-it-on-down-the-line,Beat It On Down The Line,person-jesse-fuller,non_family_writer,,,held
song-beautiful-jam,Beautiful Jam,,no_writer_data,,,held
song-believe-it-or-not,Believe It Or Not,,no_writer_data,,,held
song-betty-and-dupree,Betty And Dupree,,no_writer_data,,,held
song-big-boss-man,Big Boss Man,person-al-smith;person-luther-dixon,non_family_writer,,,held
song-big-boy-pete,Big Boy Pete,person-dewey-terry;person-don-sugarcane-harris,non_family_writer,,,held
song-big-breasa,Big Breasa,,no_writer_data,,,held
